Start_Date,Total_Rides,Average_Duration,date,Total Positives,Total Lives Lost,Daily_Cases
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0
2020-03-02,7646,13.77260877147092,0,0.0,0.0,0.0
2020-03-03,7638,13.454996945099063,0,0.0,0.0,0.0
2020-03-04,9114,13.673714432009364,0,0.0,0.0,0.0
2020-03-05,8365,13.58803945008966,0,0.0,0.0,0.0
2020-03-06,6922,12.43210777232014,0,0.0,0.0,0.0
2020-03-07,6166,16.774959455076225,2020-03-07,2.0,0.0,2.0
2020-03-08,7494,21.835188150520416,2020-03-08,2.0,0.0,0.0
2020-03-09,9778,16.982247562555397,2020-03-09,4.0,0.0,2.0
2020-03-10,8674,13.941916455307048,2020-03-10,4.0,0.0,0.0
2020-03-11,8491,13.300653633258746,2020-03-11,10.0,0.0,6.0
2020-03-12,7915,14.235622236260266,2020-03-12,10.0,0.0,0.0
2020-03-13,7191,16.7180943772308,2020-03-13,10.0,0.0,0.0
2020-03-14,6034,23.694263064854717,2020-03-14,16.0,0.0,6.0
2020-03-15,3335,18.338950524737637,2020-03-15,17.0,0.0,1.0
2020-03-16,3935,15.69,2020-03-16,22.0,0.0,5.0
2020-03-17,3900,20.43694017094017,2020-03-17,31.0,0.0,9.0
2020-03-18,3812,19.82479013641133,2020-03-18,39.0,0.0,8.0
2020-03-19,4546,23.91650168646429,2020-03-19,71.0,0.0,32.0
2020-03-20,4775,25.43904013961605,2020-03-20,77.0,1.0,6.0
2020-03-21,5186,29.89371384496722,2020-03-21,98.0,1.0,21.0
2020-03-22,4416,28.49899230072464,2020-03-22,116.0,2.0,18.0
2020-03-23,1055,15.487172195892576,2020-03-23,137.0,2.0,21.0
2020-03-24,2671,20.20585298889305,2020-03-24,183.0,2.0,46.0
2020-03-25,936,15.005947293447294,2020-03-25,231.0,3.0,48.0
2020-03-26,2815,23.022326820603908,2020-03-26,267.0,3.0,36.0
2020-03-27,3179,24.64888853937297,2020-03-27,304.0,4.0,37.0
2020-03-28,2287,23.621665937909928,2020-03-28,342.0,5.0,38.0
2020-03-29,4164,29.981960454691,2020-03-29,401.0,9.0,59.0
2020-03-30,2896,23.270367173112337,2020-03-30,495.0,9.0,94.0
2020-03-31,1496,17.480314171122995,2020-03-31,586.0,11.0,91.0
2020-04-01,1753,18.373645179691955,2020-04-01,653.0,12.0,67.0
2020-04-02,2071,20.98309995171415,2020-04-02,757.0,15.0,104.0
2020-04-03,2475,21.40040404040404,2020-04-03,902.0,21.0,145.0
2020-04-04,3133,28.275135652729016,2020-04-04,998.0,22.0,96.0
2020-04-05,4408,30.780852994555357,2020-04-05,1097.0,24.0,99.0
2020-04-06,2850,24.052631578947366,2020-04-06,1211.0,22.0,114.0
2020-04-07,1954,20.32088024564995,2020-04-07,1440.0,27.0,229.0
2020-04-08,3186,26.13779033270559,2020-04-08,1523.0,32.0,83.0
2020-04-09,1897,20.51027938850817,2020-04-09,1660.0,38.0,137.0
2020-04-10,1595,18.22382445141066,2020-04-10,1778.0,47.0,118.0
2020-04-11,4059,29.984478935698448,2020-04-11,1875.0,50.0,97.0
2020-04-12,3234,29.35003092145949,2020-04-12,1955.0,52.0,80.0
2020-04-13,1714,23.054842473745623,2020-04-13,2058.0,67.0,103.0
2020-04-14,2075,21.66795180722892,2020-04-14,2197.0,72.0,139.0
2020-04-15,2270,21.018061674008813,2020-04-15,2350.0,81.0,153.0
